"logFC","logCPM","F","PValue","FDR","gene","cluster_id","contrast","Significant","neglogFDR"
12.9731219584458,6.85915344808906,327.628935734944,1.6729624238431e-47,3.43224970875651e-43,"LSP1","Epithelial","TN - RD",TRUE,42.4644211231573
-14.5766143658579,4.28025317246713,633.177050452042,7.1177348736958e-45,9.73516324458287e-41,"WFDC2","Epithelial","TN - RD",TRUE,40.0116567615937
-15.6406466672686,4.56365453058403,726.755707376075,3.89107097671367e-44,3.99146060791288e-40,"PIGR","Epithelial","TN - RD",TRUE,39.3988681524635
-13.3892981157275,3.96142797148516,516.973096132992,7.23890184981842e-44,5.94053241403499e-40,"FOLR1","Epithelial","TN - RD",TRUE,39.2261746300835
-13.0896597811608,3.87633765031469,478.76503668149,6.9638430369793e-43,4.76234012488891e-39,"CLDN4","Epithelial","TN - RD",TRUE,38.3221795906431
-13.035373656954,3.851619895311,447.147445600177,1.34207953217125e-41,7.86688676629296e-38,"TSPAN1","Epithelial","TN - RD",TRUE,37.1041971008958
-14.2907960909489,4.31406584449993,421.93416671933,3.57150092826774e-40,1.83182282610852e-36,"KRT8","Epithelial","TN - RD",TRUE,35.7371165335963
-12.709906128846,3.94263449771579,395.01065876176,1.33833109957304e-39,6.10160018640899e-36,"TSPAN8","Epithelial","TN - RD",TRUE,35.2145562533513
-13.180038050447,4.05766967668864,359.207010622606,1.15893495409366e-38,4.75534190363713e-35,"EPCAM","Epithelial","TN - RD",TRUE,34.3228182523281
18.8113094249609,9.80993674554106,4210.22261078479,4.46896085307582e-229,1.83370401723407e-224,"TPSAB1","Fibroblast","PD - RD",TRUE,223.736670763571
17.6393045152865,9.15168606665974,2880.24531964351,1.94918033292551e-209,3.99893837102997e-205,"TPSB2","Fibroblast","PD - RD",TRUE,204.398055288872
13.1849292650286,6.8406848483503,1495.52659333405,9.06056156880244e-176,1.23924320763701e-171,"KIT","Fibroblast","PD - RD",TRUE,170.906843452809
13.8458459322059,7.32572941591024,1374.16326310344,1.99753657884017e-165,2.04907302257425e-161,"CPA3","Fibroblast","PD - RD",TRUE,160.688442564422
13.4629914281833,6.69089842336766,1050.46384284533,1.23812619324587e-141,1.01605587922529e-137,"HDC","Fibroblast","PD - RD",TRUE,136.993082406844
14.3447461626612,6.9852524466794,842.415781022691,4.64469670851243e-121,3.17635325572803e-117,"MS4A2","Fibroblast","PD - RD",TRUE,116.498071203826
15.559383779218,7.33026395882825,827.860244624465,1.62758616903962e-117,9.54044509829054e-114,"TPSD1","Fibroblast","PD - RD",TRUE,113.020431363323
12.5268173788201,6.04868607968955,514.692251233762,9.83130743335204e-87,5.04247758256626e-83,"SIGLEC6","Fibroblast","PD - RD",TRUE,82.2973560238617
13.2539994355589,5.9762645806048,506.080394711081,2.1543200463313e-85,9.82178446011843e-82,"HPGDS","Fibroblast","PD - RD",TRUE,81.0078096007286
13.2963285057728,6.08257260519103,444.166394960353,3.77391122131589e-77,1.54851125233034e-73,"RHEX","Fibroblast","PD - RD",TRUE,72.8100856344743
-1.57040652707662,11.6566648689096,54.0884274107381,3.79438898392988e-13,1.55691368788611e-08,"TMSB4X","Fibroblast","TN - PD",TRUE,7.80773546316329
-1.28482908257232,13.8853488128399,49.1797563518552,4.65185786933296e-12,9.5437516047235e-08,"B2M","Fibroblast","TN - PD",TRUE,7.02028087257553
7.99293622496008,3.60098457078469,45.3437366999507,3.10984415464846e-11,4.25343751178452e-07,"XIST","Fibroblast","TN - PD",TRUE,6.37125994313098
6.50572228699291,3.33980360377326,33.6607048225088,9.36709783760773e-09,8.18955993015918e-05,"TSIX","Fibroblast","TN - PD",TRUE,4.0867394346301
-2.36984469270201,9.34219247217209,33.3245378427291,9.97947934558293e-09,8.18955993015918e-05,"IFITM3","Fibroblast","TN - PD",TRUE,4.0867394346301
8.21586335557788,2.44147984453724,31.5976655837567,2.61829106667319e-08,0.000179056198412891,"EDIL3","Fibroblast","TN - PD",TRUE,3.74701064036042
9.80823686130265,1.32745433148723,30.8848827815168,4.11905920092299e-08,0.000241447481617532,"GSTM5","Fibroblast","TN - PD",TRUE,3.61717732008477
9.14529336372047,1.53685133058606,30.4360054311296,4.8187267396443e-08,0.000247152494476356,"IGKC","Fibroblast","TN - PD",TRUE,3.60703500190622
8.93412619100491,1.61988263297434,29.6094701426433,6.87821504626943e-08,0.000313585466420586,"AMPD2","Fibroblast","TN - PD",TRUE,3.50364407353736
1.32160461619823,6.8406848483503,28.2904609124065,1.40728116366547e-07,0.000577435607075215,"KIT","Fibroblast","TN - PD",TRUE,3.23849643923
